# every row feeds the campaign charts; source = the measurement ledger / bench/fair-battle.md; t/s, median of 7 unless noted
cardset,cards,model,engine,codec,prefill_3k,prefill_20k,decode,notes
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 44e6eea632 FUSE_DELTANET=3 (off) pass a,PXQ4,,,36.93,FINAL-CANDIDATE base for the decode workstream decode2 cell; n=5 fill8; pass b 37.00
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 44e6eea632 FUSE_DELTANET=55 (bit2+4+5 on) pass a,PXQ4,,,39.43,FINAL-CANDIDATE 2026-09-03 decode @fill8 n=5; pass b 39.38; gated 12/12-equivalent clean at np=1 and np=2 slot-pinned (bit2,4,5 each 100% ref-sha match, 100% needle recall); +6.4-6.8% vs off; +5.6-5.7% vs same-session ik (37.30), non-overlapping intervals; beats 38.5 bar; closes the decode workstream (was 0.3% RED at 37.24/37.39)
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 44e6eea632 FUSE_DELTANET=55 fill20800 pass a,PXQ4,,,30.81,FINAL-CANDIDATE 2026-09-03 deep decode n=5; pass b 30.95; base 29.41/29.38; ik 30.55
v100,2x V100 (2;4),Qwable-27B,upstream ik_llama.cpp 3c58ae37,MXFP4,,,37.30,FINAL-CANDIDATE 2026-09-03 in-session decode2 ik arm n=5 fill8; deep fill20800 30.55
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch ee4300bd4a PXA_SCHED_PIPELINE=0 (baseline) ub512,PXQ4,1112.33,1014.10,37.29,baseline for cross-ubatch pipelining cell; n=2; busy(sum util GPU2+4) 1.148
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch ee4300bd4a PXA_SCHED_PIPELINE=1 ub512,PXQ4,1102.53,1011.31,37.44,LOSS(wash) -0.9%/-0.3% vs off-ub512 (within noise spread 0.29%/0.02%); busy 1.088 (target >=1.35 NOT met, moved down); n_copies=2+ASYNC staging confirmed engaged; gates np1 12/12 np2 12/12 needle3121 6/6+6/6 soak 40/40 all clean
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch ee4300bd4a PXA_SCHED_PIPELINE=0 (baseline) ub2048,PXQ4,995.76,882.60,37.26,baseline for cross-ubatch pipelining cell; n=2; busy(sum util GPU2+4) 0.914
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch ee4300bd4a PXA_SCHED_PIPELINE=1 ub2048,PXQ4,933.15,844.60,37.41,LOSS -6.3%/-4.3% vs off-ub2048 (real, outside 0.88%/0.20% spread); busy 0.855 (down not up); default stays OFF; commit kept as documented negative (alias-collision guard is a real correctness fix); P100 pair skipped per main order (same recurrent glue predicts same loss, no GPU time on a known loss)
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch PXA_PIPELINE_PP=0 (baseline) -ts 45,55 ub512,PXQ4,1112.43,990.43,39.39,baseline for deeper-copies cell rebalanced -ts; n=2; busy(sum util GPU2+4) 1.086
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch PXA_PIPELINE_PP=1 n_copies=2 -ts 45,55 ub512,PXQ4,1043.22,976.42,39.82,LOSS -6.2%/-1.4% vs off-ub512; busy 1.087 (flat, target >=1.30 NOT met); gates np1 12/12 np2 12/12 needle3121 6/6+6/6 soak 40/40 all clean
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch PXA_PIPELINE_PP=1 n_copies=4 GGML_SCHED_MAX_COPIES=4 -ts 45,55 ub512,PXQ4,1040.69,981.73,39.35,LOSS -6.5%/-0.9% vs off-ub512; busy 1.037 (DOWN from copies=2, target >=1.30 NOT met, target t/s >=1165 missed by 15.7%); same gates all clean; default stays OFF
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch PXA_PIPELINE_PP=0 (baseline) -ts 45,55 ub2048,PXQ4,1002.33,860.41,39.52,baseline for deeper-copies cell rebalanced -ts; n=2; busy(sum util GPU2+4) 0.898
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch PXA_PIPELINE_PP=1 n_copies=2 -ts 45,55 ub2048,PXQ4,1005.89,866.52,39.65,LOSS(wash) +0.4%/+0.7% vs off-ub2048 (inside noise); busy 0.876 (down not up)
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch PXA_PIPELINE_PP=1 n_copies=4 -ts 45,55 ub2048,PXQ4,938.75,853.93,39.78,LOSS -6.3%/-0.8% vs off-ub2048; busy 0.890; deeper n_copies (2->4) does not raise busy-sum toward mainline's 1.29-1.37, refutes the diagnosis's "not deep enough" hypothesis; commit kept as documented negative, PXA_PIPELINE_PP_COPIES lever left in tree default-off
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 62b58fe462 checkpoint levers OFF (baseline) default -ts ub512,PXQ4,1042.65,971.49,39.50,baseline for the checkpoint-policy cell; n=2 (median of 2 after a discarded warmup); busy(sum util GPU2+4) 1.244; spread +/-0.02%/0.19%
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 62b58fe462 PXA_CKPT_PROMPT_POLICY=1 PXA_CKPT_LEAN_SYNC=1 PXA_PIPELINE_PP=1 copies=2 default -ts ub512,PXQ4,1151.23,1083.20,39.69,CANDIDATE +10.4%/+11.5% vs off-ub512; busy 1.330 (target >=1.30 MET); 20801 cell 83-87% -> 93.0% of mainline 1165 (target t/s NOT met); mainline's mid-prompt checkpoint policy (2 checkpoints per 20k prompt not 11) + 1 device drain per checkpoint instead of 3; host block per prefill 12377ms -> 2510ms; gates np1 12/12 np2 12/12 needle3121 6/6+6/6 soak 40/40 all identical to the lever-off reference (50320f65 / 82110639)
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 62b58fe462 checkpoint levers OFF (baseline) default -ts ub2048,PXQ4,939.26,848.56,39.42,baseline for the checkpoint-policy cell at ub2048; n=2; busy 0.866
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 62b58fe462 PXA_CKPT_PROMPT_POLICY=1 PXA_CKPT_LEAN_SYNC=1 PXA_PIPELINE_PP=1 copies=2 default -ts ub2048,PXQ4,1021.71,932.13,39.73,CANDIDATE +8.8%/+9.8% vs off-ub2048; busy 0.933; same gates
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 62b58fe462 PXA_SCHED_ASYNC_INPUTS=1 alone (with ckpt levers) -ts 45,55 ub512,PXQ4,,802.24,,LOSS -25% vs the same arm without it (1069.9); busy 0.990; at n_copies==1 it trips overlap2's own alloc_graph full-drain defence and serializes both devices; stays default OFF; n=2 probe not a full bench row
v100,2x V100 (2;4),Qwable-27B,pxa dev-branch 62b58fe462 reference --ctx-checkpoints 0 default -ts ub512,PXQ4,,1087.16,,ceiling reference for the checkpoint cell (checkpoints fully disabled); the shipped policy reaches 1083-1086 while KEEPING the 2 restorable checkpoints; n=2 probe
p100,2x P100 (1;5),Qwable-27B,pxa fold+carry ed5c9998af ub256,PXQ4,321.81,296.51,17.69,CANDIDATE 2026-09-03 19:04 2 runs shipped defaults (SHARE auto, guards, ckpt policy, lean sync, PP copies=2); off arm 319.28/288.94/17.47
p100,2x P100 (1;5),Qwable-27B,pxa fold+carry ed5c9998af ub512,PXQ4,295.48,274.98,17.74,CANDIDATE 2026-09-03 19:04 2 runs
v100,2x V100 (2;4),Qwable-27B,pxa fold 24ebec4096 ub2048 b8192,PXQ4,1339.64,1281.87,39.67,FINAL 2026-09-03 20:45 n=7 serialized in-session; supersedes the 07:03 FINAL rows
v100,2x V100 (2;4),Qwable-27B,pxa fold 24ebec4096 ub512 b8192,PXQ4,1251.73,1176.33,39.53,FINAL 2026-09-03 20:45 n=7; pass b 1237.82/1162.73/39.61
v100,2x V100 (2;4),Qwable-27B,mainline llama.cpp 9400c89,MXFP4,939.55,1129.07,,FINAL 2026-09-03 20:45 n=7 in-session; best of ub2048 (1123.74) and ub512 (1129.07); -b 8192 probe 1167 (2 runs); decode not captured (34.8 earlier)
v100,2x V100 (2;4),Qwable-27B,upstream ik_llama.cpp 3c58ae37,MXFP4,470.75,395.27,37.37,FINAL 2026-09-03 20:45 n=7 in-session
p100,2x P100 (1;5),Qwable-27B,pxa fold 24ebec4096 ub256 b8192,PXQ4,340.16,316.84,17.83,FINAL 2026-09-03 21:11 n=7 serialized; pass b 339.11/316.57/17.79
p100,2x P100 (1;5),Qwable-27B,mainline llama.cpp 9400c89,MXFP4,209.08,254.74,,FINAL 2026-09-03 21:35 n=7 in-session; decode not captured
p100,2x P100 (1;5),Qwable-27B,pxa fold 24ebec4096 ub512 b8192,PXQ4,323.26,310.38,17.76,FINAL 2026-09-03 22:23 n=7
p100,2x P100 (1;5),Qwable-27B,upstream ik_llama.cpp 3c58ae37,MXFP4,133.36,84.15,14.30,FINAL 2026-09-03 22:23 n=7 in-session
1080ti,1x 1080 Ti (3),PXA-Fusion2-35B,upstream ik_llama.cpp 3c58ae37,IQ2_KS,1132.1 (cold fa-off),740.0 (chat fa-on),53.33,FINAL 2026-09-03 22:26 n=3 published tier; cold decode 30.43; shas stable
1080ti,1x 1080 Ti (3),PXA-Fusion2-35B,pxa fold 24ebec4096 int8-prefill,PXQ2,1306.0 (cold fa-off),729.3 (chat fa-on),59.22,FINAL 2026-09-03 23:00 n=3 published tier; PXA_PXQ_INT8_PREFILL=1 PXA_PXQ_I8_BLUT=1; cold decode 32.05; shas stable; chat prefill ties upstream (727-746)
v100,2x V100 (2;4),Qwable-27B,pxa v2026.09.05-rc1 cd681b35 (auto -b 8192 -ub 2048),PXQ4,1356.78,1306.54,39.58,FINAL 2026-09-07 rel-ab AFTER arm: bare command line no env; prefill n=3 decode n=12; reproduces the RC notes row 1369/1300/39.5 within 1%
p100,2x P100 (1;5),Qwable-27B,pxa v2026.09.05-rc1 cd681b35 (auto -b 8192 -ub 256),PXQ4,337.75,315.35,18.17,FINAL 2026-09-07 rel-ab AFTER arm: bare command line no env; prefill n=3 decode n=12
